bacteria
0-100
Protein Id	Score	Localization	Gene Ontology Terms
tr|T2K4J8|T2K4J8_SALTM	21	cytoplasm	cytoplasm GO:0005737(IEA); cytoskeleton GO:0005856(IEA);
tr|T2KBN5|T2KBN5_SALTM	89	inner membrane	integral to plasma membrane GO:0005887(IDA); outer membrane-bounded periplasmic space GO:0030288(IDA);
tr|T2KBF5|T2KBF5_SALTM	86	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K5I0|T2K5I0_SALTM	6	cytoplasm	cytoplasm GO:0005737(IDA);
tr|T2K5R3|T2K5R3_SALTM	93	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KDZ0|T2KDZ0_SALTM	95	cytoplasm	cytoplasm GO:0005737(IDA);
tr|T2K852|T2K852_SALTM	9	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K7A7|T2K7A7_SALTM	100	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KCK7|T2KCK7_SALTM	16	fimbrium	pilus GO:0009289(IEA);
tr|T2K798|T2K798_SALTM	10	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KBR4|T2KBR4_SALTM	96	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2KAP6|T2KAP6_SALTM	12	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K5P1|T2K5P1_SALTM	60	cytoplasm	cytoplasm GO:0005737(IDA);
tr|T2K970|T2K970_SALTM	94	cytoplasm	cytoplasm GO:0005737(IEA); membrane GO:0016020(IDA);
tr|T2KB86|T2KB86_SALTM	10	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KA36|T2KA36_SALTM	27	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KB49|T2KB49_SALTM	97	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K9Y8|T2K9Y8_SALTM	68	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K744|T2K744_SALTM	100	secreted	host cell GO:0043657(IDA); host cell cytoplasm GO:0030430(IEA);
tr|T2K4N5|T2K4N5_SALTM	87	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K8V4|T2K8V4_SALTM	90	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KFW3|T2KFW3_SALTM	89	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KBK0|T2KBK0_SALTM	81	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2KBS2|T2KBS2_SALTM	91	cytoplasm	cytosol GO:0005829(IDA);
tr|T2K4J2|T2K4J2_SALTM	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KDR8|T2KDR8_SALTM	59	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K6B7|T2K6B7_SALTM	85	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KD41|T2KD41_SALTM	94	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IDA);
tr|T2K347|T2K347_SALTM	82	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K483|T2K483_SALTM	84	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K834|T2K834_SALTM	17	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K2T5|T2K2T5_SALTM	80	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K7U5|T2K7U5_SALTM	89	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IDA);
tr|T2K985|T2K985_SALTM	20	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K407|T2K407_SALTM	14	cytoplasm	cytoplasm GO:0005737(IEA); integral to membrane GO:0016021(IEA);
tr|T2K8N0|T2K8N0_SALTM	25	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KEN9|T2KEN9_SALTM	93	cytoplasm	cytosol GO:0005829(IDA); membrane GO:0016020(IDA);
tr|T2KBH7|T2KBH7_SALTM	89	periplasm	periplasmic space GO:0042597(IDA);
tr|T2KCQ8|T2KCQ8_SALTM	25	cytoplasm	bacterial nucleoid GO:0043590(IDA); cytoplasm GO:0005737(IEA);
tr|T2K8V6|T2K8V6_SALTM	88	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KCS3|T2KCS3_SALTM	97	cytoplasm	cell outer membrane GO:0009279(IDA); cytoplasm GO:0005737(IEA);
tr|T2K585|T2K585_SALTM	100	outer membrane	cell outer membrane GO:0009279(IEA); plasma membrane GO:0005886(IEA); pore complex GO:0046930(IEA);
tr|T2K330|T2K330_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K5U1|T2K5U1_SALTM	15	periplasm	cytoplasm GO:0005737(IDA); periplasmic space GO:0042597(IEA);
tr|T2K262|T2K262_SALTM	89	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(IDA); peptidoglycan-based cell wall GO:0009274(IEA); plasma membrane GO:0005886(IEA);
tr|T2KAJ8|T2KAJ8_SALTM	97	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KBK8|T2KBK8_SALTM	14	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KED7|T2KED7_SALTM	13	cytoplasm	cytosol GO:0005829(IDA); membrane GO:0016020(IDA);
tr|T2KFI2|T2KFI2_SALTM	9	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KCQ6|T2KCQ6_SALTM	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q404H4|Q404H4_SALTM	23	secreted	extracellular region GO:0005576(IEA);
tr|T2K2N5|T2K2N5_SALTM	91	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(IDA); plasma membrane GO:0005886(IEA);
tr|Q7BT47|Q7BT47_SALTM	32	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2KBK3|T2KBK3_SALTM	88	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K2X7|T2K2X7_SALTM	100	fimbrium	pilus GO:0009289(IEA);
tr|T2K3J6|T2K3J6_SALTM	15	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KEC3|T2KEC3_SALTM	88	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K3G0|T2K3G0_SALTM	20	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K1Z0|T2K1Z0_SALTM	26	fimbrium	pilus GO:0009289(IEA);
tr|T2K8Y5|T2K8Y5_SALTM	18	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K493|T2K493_SALTM	21	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K7V3|T2K7V3_SALTM	21	cytoplasm	cytoplasmic membrane-bounded vesicle GO:0016023(IEA);
tr|T2K374|T2K374_SALTM	17	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K4R9|T2K4R9_SALTM	99	cytoplasm	cytoplasm GO:0005737(IDA); nucleoid GO:0009295(IBA);
tr|T2K2F8|T2K2F8_SALTM	28	outer membrane	cell outer membrane GO:0009279(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KD92|T2KD92_SALTM	83	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KEJ8|T2KEJ8_SALTM	90	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KD86|T2KD86_SALTM	82	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KDK6|T2KDK6_SALTM	22	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K930|T2K930_SALTM	96	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K3Z0|T2K3Z0_SALTM	22	cytoplasm	cytosol GO:0005829(IDA);
tr|T2K2M1|T2K2M1_SALTM	95	inner membrane	cytochrome o ubiquinol oxidase complex GO:0009319(IDA); integral to plasma membrane GO:0005887(IDA); respiratory chain GO:0070469(IEA);
tr|T2K7U1|T2K7U1_SALTM	26	periplasm	bacterial-type flagellum filament GO:0009420(IEA); periplasmic flagellum GO:0055040(IEA);
tr|T2KB43|T2KB43_SALTM	98	cytoplasm	signal recognition particle GO:0048500(IMP); signal recognition particle, endoplasmic reticulum targeting GO:0005786(IEA);
tr|T2KB14|T2KB14_SALTM	19	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K482|T2K482_SALTM	23	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K3V3|T2K3V3_SALTM	7	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KD67|T2KD67_SALTM	17	secreted	cell wall GO:0005618(IEA); extracellular region GO:0005576(IEA); S-layer GO:0030115(IEA);
tr|T2KCK6|T2KCK6_SALTM	29	cytoplasm	cytoplasm GO:0005737(ISS);
tr|T2KBG2|T2KBG2_SALTM	91	periplasm	ATP-binding cassette (ABC) transporter complex GO:0043190(ISS); outer membrane-bounded periplasmic space GO:0030288(EXP);
tr|T2K3F7|T2K3F7_SALTM	10	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2KCJ7|T2KCJ7_SALTM	40	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K640|T2K640_SALTM	19	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8G8|T2K8G8_SALTM	85	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KCT7|T2KCT7_SALTM	22	cytoplasm	cytosol GO:0005829(IDA);
tr|T2KD79|T2KD79_SALTM	14	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KDG1|T2KDG1_SALTM	96	cytoplasm	cytoplasm GO:0005737(IDA);
tr|T2K9B0|T2K9B0_SALTM	22	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KDB0|T2KDB0_SALTM	27	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K6M9|T2K6M9_SALTM	90	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2KDH8|T2KDH8_SALTM	98	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|T2K5E4|T2K5E4_SALTM	82	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K4M2|T2K4M2_SALTM	23	secreted	extracellular region GO:0005576(IEA);
tr|T2K8T6|T2K8T6_SALTM	98	cytoplasm	cytoplasm GO:0005737(IEA); Holliday junction resolvase complex GO:0048476(IDA);
tr|T2K610|T2K610_SALTM	87	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KCB6|T2KCB6_SALTM	6	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KCM1|T2KCM1_SALTM	96	cytoplasm	cytoplasm GO:0005737(IEA); membrane GO:0016020(IDA);
tr|T2KDN3|T2KDN3_SALTM	18	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K9K1|T2K9K1_SALTM	76	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2KCI7|T2KCI7_SALTM	42	cytoplasm	cytoplasm GO:0005737(IEA); Gram-negative-bacterium-type cell wall GO:0009276(IDA); membrane GO:0016020(IEA);
tr|T2K429|T2K429_SALTM	16	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KAG5|T2KAG5_SALTM	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K345|T2K345_SALTM	94	cytoplasm	citrate lyase complex GO:0009346(IEA);
tr|T2K6X8|T2K6X8_SALTM	87	periplasm	outer membrane-bounded periplasmic space GO:0030288(IDA);
tr|Q7BT48|Q7BT48_SALTM	20	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8I2|T2K8I2_SALTM	82	inner membrane	Gram-negative-bacterium-type cell wall GO:0009276(IDA); integral to plasma membrane GO:0005887(IDA);
tr|T2K4M1|T2K4M1_SALTM	23	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KBI5|T2KBI5_SALTM	10	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KDE3|T2KDE3_SALTM	22	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K696|T2K696_SALTM	80	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KEJ7|T2KEJ7_SALTM	92	inner membrane	integral to external side of plasma membrane GO:0071575(IDA);
tr|T2K5M7|T2K5M7_SALTM	9	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KED1|T2KED1_SALTM	89	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K584|T2K584_SALTM	10	secreted	cell wall GO:0005618(IEA); extracellular region GO:0005576(IEA);
tr|T2K2N9|T2K2N9_SALTM	88	cytoplasm	cytosol GO:0005829(IDA);
tr|T2KFD6|T2KFD6_SALTM	46	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K388|T2K388_SALTM	23	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K5A5|T2K5A5_SALTM	91	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2KCR9|T2KCR9_SALTM	79	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KA10|T2KA10_SALTM	25	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K4J0|T2K4J0_SALTM	94	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K9N7|T2K9N7_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KEK9|T2KEK9_SALTM	94	outer membrane	integral to cell outer membrane GO:0045203(IDA); plasma membrane GO:0005886(IEA);
tr|T2KE80|T2KE80_SALTM	24	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KBT0|T2KBT0_SALTM	94	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2K977|T2K977_SALTM	9	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K7L2|T2K7L2_SALTM	9	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K8M9|T2K8M9_SALTM	63	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K255|T2K255_SALTM	13	fimbrium	pilus GO:0009289(IEA);
tr|T2K2I5|T2K2I5_SALTM	94	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K7I6|T2K7I6_SALTM	23	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KA69|T2KA69_SALTM	96	inner membrane	integral to plasma membrane GO:0005887(IDA); plasma membrane respiratory chain complex I GO:0045272(IDA);
tr|T2K846|T2K846_SALTM	76	cytoplasm	cytosol GO:0005829(IDA);
tr|T2K4R4|T2K4R4_SALTM	10	inner membrane	Gram-negative-bacterium-type cell wall GO:0009276(IEA); integral to membrane GO:0016021(IEA); intrinsic to external side of plasma membrane, in periplasmic space GO:0031237(IDA);
tr|T2KAR0|T2KAR0_SALTM	66	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K879|T2K879_SALTM	98	cytoplasm	cytosol GO:0005829(IDA); membrane GO:0016020(IDA);
tr|T2K4A4|T2K4A4_SALTM	100	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K672|T2K672_SALTM	86	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K758|T2K758_SALTM	33	periplasm	periplasmic space GO:0042597(IDA);
tr|T2K803|T2K803_SALTM	24	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KB28|T2KB28_SALTM	97	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(IDA); plasma membrane GO:0005886(IEA);
tr|T2K5E7|T2K5E7_SALTM	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KB93|T2KB93_SALTM	85	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KAX1|T2KAX1_SALTM	23	secreted	extracellular region GO:0005576(IDA); host cell cytoplasm GO:0030430(IEA);
tr|T2K369|T2K369_SALTM	93	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K253|T2K253_SALTM	91	inner membrane	integral to membrane GO:0016021(IDA); outer membrane-bounded periplasmic space GO:0030288(IEA); plasma membrane GO:0005886(IEA);
tr|T2K689|T2K689_SALTM	7	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KAU8|T2KAU8_SALTM	14	inner membrane	Gram-negative-bacterium-type cell wall GO:0009276(IEA); integral to membrane GO:0016021(IEA); intrinsic to external side of plasma membrane, in periplasmic space GO:0031237(IDA);
tr|T2KE87|T2KE87_SALTM	100	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K8A7|T2K8A7_SALTM	90	periplasm	periplasmic space GO:0042597(IDA);
tr|T2K6N1|T2K6N1_SALTM	95	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K5U9|T2K5U9_SALTM	93	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KCF6|T2KCF6_SALTM	88	inner membrane	integral to plasma membrane GO:0005887(IEA); TAT protein transport complex GO:0033281(IDA);
tr|T2KE35|T2KE35_SALTM	20	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KEZ6|T2KEZ6_SALTM	15	fimbrium	pilus GO:0009289(IEA);
tr|T2K6M4|T2K6M4_SALTM	18	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K8R0|T2K8R0_SALTM	19	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K4P4|T2K4P4_SALTM	95	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K455|T2K455_SALTM	96	cytoplasm	cytoplasm GO:0005737(IDA);
tr|T2K593|T2K593_SALTM	85	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K5S6|T2K5S6_SALTM	100	secreted	host cell cytoplasm GO:0030430(IEA);
tr|T2K9X7|T2K9X7_SALTM	76	periplasm	periplasmic space GO:0042597(IDA);
tr|T2K4L4|T2K4L4_SALTM	87	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K5B0|T2K5B0_SALTM	11	secreted	extracellular region GO:0005576(IEA);
tr|T2KCN7|T2KCN7_SALTM	84	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KB35|T2KB35_SALTM	89	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KFH3|T2KFH3_SALTM	86	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KBW2|T2KBW2_SALTM	91	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2K854|T2K854_SALTM	92	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K655|T2K655_SALTM	20	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K5V0|T2K5V0_SALTM	23	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K7K6|T2K7K6_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8G6|T2K8G6_SALTM	90	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KAC3|T2KAC3_SALTM	100	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K718|T2K718_SALTM	89	inner membrane	ATP-binding cassette (ABC) transporter complex GO:0043190(IDA); integral to plasma membrane GO:0005887(IDA);
tr|T2K5W4|T2K5W4_SALTM	20	periplasm	ATP-binding cassette (ABC) transporter complex GO:0043190(ISS); outer membrane-bounded periplasmic space GO:0030288(EXP);
tr|T2K9U0|T2K9U0_SALTM	95	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K8L1|T2K8L1_SALTM	9	secreted	extracellular region GO:0005576(IEA);
tr|T2K2Z2|T2K2Z2_SALTM	76	periplasm	outer membrane-bounded periplasmic space GO:0030288(IDA);
tr|T2K867|T2K867_SALTM	94	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KBR0|T2KBR0_SALTM	98	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KDI3|T2KDI3_SALTM	26	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K3W2|T2K3W2_SALTM	15	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2KBI7|T2KBI7_SALTM	21	periplasm	bacterial-type flagellum GO:0009288(IEA); periplasmic space GO:0042597(IEA);
tr|T2K3P3|T2K3P3_SALTM	10	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K5K6|T2K5K6_SALTM	82	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KAF5|T2KAF5_SALTM	94	cytoplasm	cytosol GO:0005829(IDA);
tr|T2K654|T2K654_SALTM	75	cytoplasm	cytosol GO:0005829(IDA);
tr|T2K5U3|T2K5U3_SALTM	46	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KES3|T2KES3_SALTM	21	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K4B7|T2K4B7_SALTM	35	secreted	extracellular region GO:0005576(IEA);
tr|T2KEX9|T2KEX9_SALTM	84	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KBV2|T2KBV2_SALTM	94	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KAH1|T2KAH1_SALTM	15	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K6Y2|T2K6Y2_SALTM	76	cytoplasm	cytosol GO:0005829(IDA);
tr|T2K3S8|T2K3S8_SALTM	93	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KBM1|T2KBM1_SALTM	6	cytoplasm	cytosol GO:0005829(IDA);
tr|T2KFX9|T2KFX9_SALTM	19	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KC50|T2KC50_SALTM	15	periplasm	periplasmic space GO:0042597(IDA);
tr|T2K5C3|T2K5C3_SALTM	100	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K8I1|T2K8I1_SALTM	15	inner membrane	Gram-negative-bacterium-type cell wall GO:0009276(IEA); integral to membrane GO:0016021(IEA); intrinsic to external side of plasma membrane, in periplasmic space GO:0031237(IDA);
tr|T2KC59|T2KC59_SALTM	86	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KDE2|T2KDE2_SALTM	32	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA);
tr|T2K2U8|T2K2U8_SALTM	84	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KF90|T2KF90_SALTM	11	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K680|T2K680_SALTM	40	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K420|T2K420_SALTM	30	secreted	extracellular region GO:0005576(IEA);
tr|T2K402|T2K402_SALTM	29	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KBZ9|T2KBZ9_SALTM	8	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K9V3|T2K9V3_SALTM	79	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KC86|T2KC86_SALTM	67	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KCB7|T2KCB7_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K9A4|T2K9A4_SALTM	13	secreted	extracellular region GO:0005576(IEA);
tr|T2K3T3|T2K3T3_SALTM	81	periplasm	periplasmic space GO:0042597(IDA);
tr|T2K8W6|T2K8W6_SALTM	90	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K5S8|T2K5S8_SALTM	100	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K762|T2K762_SALTM	26	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KFA3|T2KFA3_SALTM	5	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KDD3|T2KDD3_SALTM	65	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K7D9|T2K7D9_SALTM	96	cytoplasm	cytosol GO:0005829(IDA); membrane GO:0016020(IDA);
tr|T2KBW4|T2KBW4_SALTM	78	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K4Y5|T2K4Y5_SALTM	89	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA); periplasmic space GO:0042597(IDA);
tr|T2K7J7|T2K7J7_SALTM	7	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K7G4|T2K7G4_SALTM	75	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8B7|T2K8B7_SALTM	22	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KC38|T2KC38_SALTM	100	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K769|T2K769_SALTM	32	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KBD4|T2KBD4_SALTM	35	periplasm	cytosol GO:0005829(IDA); outer membrane-bounded periplasmic space GO:0030288(IDA);
tr|T2K321|T2K321_SALTM	98	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K843|T2K843_SALTM	100	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KAC5|T2KAC5_SALTM	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K2W4|T2K2W4_SALTM	87	fimbrium	pilus GO:0009289(IEA);
tr|T2K7C9|T2K7C9_SALTM	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K7Y6|T2K7Y6_SALTM	13	cytoplasm	cytosol GO:0005829(IDA);
tr|T2K3X7|T2K3X7_SALTM	92	cytoplasm	cytoplasm GO:0005737(IDA);
tr|T2K6V8|T2K6V8_SALTM	16	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K716|T2K716_SALTM	100	inner membrane	integral to membrane GO:0016021(IEA); outer membrane-bounded periplasmic space GO:0030288(IEA); plasma membrane GO:0005886(IEA);
tr|T2KD93|T2KD93_SALTM	34	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K3I3|T2K3I3_SALTM	25	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K3Z5|T2K3Z5_SALTM	20	outer membrane	cell outer membrane GO:0009279(IEA); plasma membrane GO:0005886(IEA); pore complex GO:0046930(IEA);
tr|T2K6U3|T2K6U3_SALTM	20	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K486|T2K486_SALTM	88	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2K8Q8|T2K8Q8_SALTM	88	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K6D5|T2K6D5_SALTM	18	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K200|T2K200_SALTM	85	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KDT7|T2KDT7_SALTM	96	cytoplasm	cytoplasm GO:0005737(IEA);
